,Date,Suspected cholera cases,Cholera-related deaths,Source
0,"2016-10-10
","11
","0
","[72]
"
1,"2016-10-13
","186
","0
","[73]
"
2,"2016-10-23
","644
","3
","[74]
"
3,"2016-10-30
","1,410
","45
","[75]
"
4,"2016-10-31
","2,241
","47
","[76]
"
5,"2016-11-06
","2,733
","51
","[76]
"
6,"2016-11-17
","4,825
","61
","[77]
"
7,"2016-11-24
","6,119
","68
","[78]
"
8,"2016-12-01
","7,730
","82
","[79]
"
9,"2016-12-08
","8,975
","89
","[80]
"
10,"2016-12-13
","10,148
","92
","[81]
"
11,"2016-12-28
","12,733
","97
","[82]
"
12,"2017-01-10
","15,468
","99
","[83]
"
13,"2017-01-18
","17,334
","99
","[84]
"
14,"2017-02-26
","20,583
","103
","[85]
"
15,"2017-03-07
","22,181
","103
","[86]
"
16,"2017-03-21
","23,506
","108
","[87]
"
17,"2017-04-27
","26,070
","120
","[88]
"
18,"2017-05-20
","49,495
","362
","[89]
"
19,"2017-06-10
","96,219
","746
","[90]
"
20,"2017-06-15
","140,116
","989
","[91]
"
21,"2017-06-22
","185,301
","1,233
","[92]
"
22,"2017-06-29
","224,989
","1,416
","[93]
"
23,"2017-07-06
","275,987
","1,634
","[94]
"
24,"2017-07-18
","351,045
","1,790
","[95]
"
25,"2017-07-27
","408,583
","1,885
","[96]
"
26,"2017-10-26
","862,858
","2,177
","[97]
"
27,"2017-12-19
","1,009,554 [a]
","2,345
","[98]
"
28,"2018-01-18
","1,061,746
","2,364
","[100]
"
29,"2018-02-01
","1,072,744
","2,368
","[101]
"
30,"2018-03-01
","1,089,856
","2,378
","[102]
"
31,"2018-04-05
","1,112,175
","2,391
","[103]
"
32,"2018-05-03
","1,116,350
","2,395
","[104]
"
33,"2018-05-20
","1,126,790
","2,411
","[99]
"
34,"2018-07-01
","1,141,448
","2,430
","[105]
"
35,"2018-09-23
","1,233,666
","2,630
","[106]
"
36,"2018-10-21
","1,291,550 [b]
","2,604
","[107]
"
37,"2018-11-11
","1,303,839
","2,614
","[108]
"
38,"2018-11-25
","1,317,319
","2,625
","[109]
"
39,"2018-12-09
","1,329,285
","2,641
","[110]
"
40,"2018-12-16
","1,341,020
","2,666
","[111]
"
41,"2018-12-30
","1,350,139
","2,682
","[112]
"
42,"2019-01-06
","1,359,279
","2,694
","[113]
"
43,"2019-01-13
","1,367,849
","2,703
","[114]
"
44,"2019-01-20
","1,376,488
","2,708
","[115]
"
45,"2019-02-03
","1,383,907
","2,716
","[116]
"
46,"2019-02-17
","1,390,625
","2,724
","[117]
"
47,"2019-04-07
","1,420,393
","2,775
","[118]
"
48,"2019-04-14
","1,448,233
","2,823
","[119]
"
49,"2019-04-28
","1,470,735
","2,873
","[120]
"
50,"2019-05-05
","1,488,906
","2,886
","[121]
"
51,"2019-05-12
","1,505,610
","2,898
","[122]
"
52,"2019-05-19
","1,522,437
","2,916
","[123]
"
53,"2019-05-26
","1,539,305
","2,928
","[124]
"
54,"2019-06-02
","1,555,073
","2,944
","[125]
"
55,"2019-06-09
","1,572,731
","2,955
","[126]
"
56,"2019-06-16
","1,592,995
","2,970
","[127]
"
57,"2019-06-23
","1,613,872
","2,989
","[128]
"
58,"2019-06-30
","1,635,737
","3,002
","[129]
"
59,"2019-07-07
","1,657,286
","3,020
","[130]
"
60,"2019-07-21
","1,676,745
","3,031
","[131]
"
61,"2019-07-28
","1,694,765
","3,045
","[132]
"
62,"2019-08-04
","1,711,380
","3,055
","[133]
"
63,"2019-08-11
","1,727,688
","3,069
","[134]
"
64,"2019-08-18
","1,743,984
","3,077
","[135]
"
65,"2019-08-25
","1,761,482
","3,089
","[136]
"
66,"2019-09-01
","1,780,028
","3,099
","[137]
"
67,"2019-09-29
","1,796,653
","3,114
","[138]
"
68,"2019-10-06
","1,813,480
","3,127
","[139]
"
69,"2019-10-13
","1,827,904
","3,143
","[140]
"
70,"2019-10-20
","1,842,251
","3,151
","[141]
"
71,"2019-10-27
","1,855,175
","3,161
","[142]
"
72,"2019-11-03
","1,864,556
","3,167
","[143]
"
73,"2019-11-10
","1,875,918
","3,170
","[144]
"
74,"2019-11-17
","1,887,449
","3,174
","[145]
"
75,"2019-12-01
","1,898,236
","3,176
","[146]
"
76,"2019-12-22
","1,907,658
","3,178
","[147]
"
77,"2019-12-29
","1,916,811
","3,181
","[148]
"
78,"2020-01-05
","1,925,087
","3,184
","[149]
"
79,"2020-01-12
","1,932,798
","3,188
","[150]
"
80,"2020-01-26
","1,940,893
","3,192
","[151]
"
81,"2020-05-17
","1,944,360
","3,192
","[152]
"
82,"2020-05-24
","1,946,84
","3,192
","[153]
"
83,"2020-05-31
","1,949,920
","3,192
","[40]
"
84,"2020-06-07
","1,953,033
","3,194
","[154]
"
85,"2020-06-14
","1,956,124
","3,198
","[155]
"
86,"2020-06-21
","1,959,308
","3,198
","[156]
"
87,"2020-06-28
","1,962,357
","3,199
","[157]
"
88,"2020-07-12
","1,965,664
","4,001
","[158]
"
89,"2020-07-19
","1,968,536
","4,001
","[159]
"
90,"2020-07-26
","1,971,551
","4,001
","[160]
"
91,"2020-08-02
","1,973,697
","4,002
","[161]
"
92,"2020-08-16
","1,975,403
","4,002
","[4]
"
93,"2021-04-30
","5120
","3
","[162]
"
